year,month,co2
2096,8,829.471760006212
2096,9,835.0770619813935
2096,10,845.421793501309
2096,11,851.948434390208
2096,12,854.897591496423
2097,1,855.8401170540405
2097,2,855.817172670941
2097,3,855.8861176734405
2097,4,853.4370332381075
2097,5,848.4519594441219
2097,6,840.8749364835776
2097,7,838.2739151485209
2097,8,837.5969763433579
2097,9,843.230666940451
2097,10,853.6164635771665
2097,11,860.1702158205875
2097,12,863.1304059766439
2098,1,864.075540523668
2098,2,864.0519999021999
2098,3,864.1212468678955
2098,4,861.6575763482435
2098,5,856.652246103877
2098,6,849.0506422858505
2098,7,846.4625595572055
2098,8,845.8094683553065
2098,9,851.4714186319816
2098,10,861.8981449371499
2098,11,868.4787991846135
2098,12,871.4501138816249
2099,1,872.3980363893329
2099,2,872.3741308184875
2099,3,872.443894663233
2099,4,869.9660047921075
2099,5,864.9407496027885
2099,6,857.3154373160085
2099,7,854.7398858504605
2099,8,854.1105800050195
2099,9,859.800491229338
2099,10,870.2678372552075
2099,11,876.8749288046955
2099,12,879.857121446723
2100,1,880.806390368175
2100,2,880.782031758877
2100,3,880.852304885438
2100,4,878.360444419243
2100,5,873.3155859514934
2100,6,865.6675371759295
2100,7,863.1007530267265
2100,8,862.487742386695
2100,9,868.1979457388236
2100,10,878.6915043301481
2100,11,885.3247220827304
2100,12,888.310702114187
