id,centerX,centerY,weatherID,soilDepth,soilThetaS,soilThetaR,soilVanGenuchtenAlpha,soilVanGenuchtenN
86220,126550,203350,N204.0 E128.0,112.5,0.5997571129196632,0.06958809779543017,6061304.663219495,1.33976350650828
85868,126450,203450,N204.0 E128.0,111,0.5974940498640577,0.06915953820613256,5829367.481678778,1.3333781209435918
85869,126450,203350,N204.0 E128.0,112.5,0.6019767404171741,0.07025154390268856,5835173.6654944485,1.335070604880648
85518,126350,203350,N204.0 E128.0,111,0.6070364123222893,0.06728601622026044,6068444.511913188,1.3430523551722418
85517,126350,203450,N204.0 E128.0,111,0.6040263691778621,0.07099443318968353,5653138.520195352,1.3318296388462878
85516,126350,203550,N204.0 E128.0,111,0.6016277931378902,0.07234352893914814,5630821.7631474445,1.331450317249643
85867,126450,203550,N204.0 E128.0,111,0.6014818537074167,0.07445506647497684,5365475.208297493,1.3250651021261488
85866,126450,203650,N204.0 E128.0,111,0.6082702232524752,0.07234226529243161,5206016.019654928,1.3279278187288193
85865,126450,203750,N204.0 E128.0,111,0.6037533692386302,0.07236429037702444,5579771.975875458,1.3319005378971944
85864,126450,203850,N204.0 E128.0,111,0.6031168972074917,0.07151269672547575,5748682.170006753,1.3344721813146407
85513,126350,203850,N204.0 E128.0,111,0.6041136085714407,0.06947391258074422,5894711.31586008,1.336520361403627
85514,126350,203750,N204.0 E128.0,111,0.6044440400023179,0.06972841231932714,5904474.703235066,1.3378045184851415
85515,126350,203650,N204.0 E128.0,111,0.605740512945681,0.07029292779462831,5628306.220236411,1.334895584756905
85164,126250,203650,N204.0 E128.0,94.5,0.6077989891197738,0.06713063302375966,6070230.082667726,1.3450742371288351
84813,126150,203650,N204.0 E128.0,94.5,0.5715997482024171,0.06095826679658364,6033922.420269779,1.3510984499513379
84812,126150,203750,N204.0 E128.0,94.5,0.5748080922852433,0.059983211011433626,6307524.067083169,1.3608392076742795
85163,126250,203750,N204.0 E128.0,94.5,0.6007584408319816,0.06598340874337434,6110351.962408888,1.3481455713999746
85162,126250,203850,N204.0 E128.0,94.5,0.6020606812976654,0.06730082834950883,5899989.668446108,1.34234644568178
84811,126150,203850,N204.0 E128.0,94.5,0.5804262292132805,0.060956624484369684,6325808.458421082,1.3628506932992364
84460,126050,203850,N204.0 E128.0,111,0.5987780114954657,0.07401633447430492,5567015.919938785,1.3302886966937166
84461,126050,203750,N204.0 E128.0,111,0.6029726078037407,0.07261384095207932,5580276.675907432,1.3297431334718919
84462,126050,203650,N204.0 E128.0,127,0.5935918413648954,0.07378556147973077,5479741.238219768,1.3261173309029872
84463,126050,203550,N204.0 E128.0,127,0.5867569448470366,0.07473124842357448,5593182.820911199,1.3275581627683863
84814,126150,203550,N204.0 E128.0,94.5,0.5805033639047089,0.06144016376175843,6538666.0702425055,1.3635581676081159
85165,126250,203550,N204.0 E128.0,111,0.6068341693690826,0.06866741755061796,5899078.627187142,1.3382649509995108
84815,126150,203450,N204.0 E128.0,94.5,0.5678454197391317,0.05640586804002323,6968557.465221464,1.3754002106143621
85166,126250,203450,N204.0 E128.0,94.5,0.6117940712753007,0.06945820484553486,5728823.35387136,1.3377901595371149
85167,126250,203350,N204.0 E128.0,94.5,0.6106462793217764,0.07104685740640661,5925098.403204779,1.343408181574821
84816,126150,203350,N204.0 E128.0,110.5,0.5822437052073469,0.06383467106068531,6424792.69199136,1.358836131263103
84464,126050,203450,N204.0 E128.0,110.666666666667,0.5934207290972032,0.07205410535778314,5655443.141238523,1.3318081788374587
84465,126050,203350,N204.0 E128.0,110.5,0.596556179714284,0.07662055581361396,5359715.973253589,1.3166945979785751
84466,126050,203250,N204.0 E128.0,110.5,0.5985659530462184,0.07865020714287241,5027744.299708811,1.3147451344564953
84467,126050,203150,N204.0 E128.0,110.5,0.5936261796354574,0.07408272180296085,4970284.308732519,1.318364372429176
84818,126150,203150,N204.0 E128.0,120.5,0.5806061113948828,0.06489872054182727,6162953.206117258,1.348880519986048
85169,126250,203150,N204.0 E128.0,111,0.6064926519825888,0.06933891320520934,5806692.619273544,1.3379352964736797
85168,126250,203250,N204.0 E128.0,94.5,0.6090600926304204,0.0707685839437356,5930758.580820355,1.3403640295883135
84817,126150,203250,N204.0 E128.0,110.666666666667,0.574028103993869,0.05975856703386292,6363698.635545911,1.3640960731719365
85519,126350,203250,N204.0 E128.0,111,0.6052592685907608,0.06565768539544768,6294182.703900269,1.3455221587428452
85870,126450,203250,N204.0 E128.0,112.5,0.6029946798458696,0.07288630179439987,5385017.602264367,1.3271360143246462
85871,126450,203150,N204.0 E128.0,112.5,0.5980881936572214,0.07502888402453174,5421542.181999696,1.325208738454724
85520,126350,203150,N204.0 E128.0,111,0.6048323206642681,0.06827221545125094,5983496.369700172,1.339583523664183
85522,126350,202950,N204.0 E128.0,112.5,0.6017073391729759,0.0703912173139138,5793618.257726582,1.335296346743902
85521,126350,203050,N204.0 E128.0,112.5,0.6030757450602122,0.06846809941861368,6061086.913024529,1.3397695604297826
85872,126450,203050,N204.0 E128.0,112.5,0.5964472727850079,0.07309050671756272,5565496.971502328,1.3305019598316277
85873,126450,202950,N204.0 E128.0,114,0.5991191248156197,0.07151956973687268,5834569.822510418,1.3357039470421666
85874,126450,202850,N204.0 E128.0,114,0.604083787903124,0.0714137261333107,5424746.520799318,1.3310347089268546
85523,126350,202850,N204.0 E128.0,112.5,0.6012798689098822,0.07251652037310931,5451781.149879906,1.3294576797220472
85172,126250,202850,N204.0 E128.0,130.5,0.6001755828430367,0.0721413940904926,5441105.148112234,1.3268288094574134
84821,126150,202850,N204.0 E128.0,130.5,0.5413708107160599,0.07283583281461817,4029904.754093529,1.2978947339044233
85171,126250,202950,N204.0 E128.0,130.5,0.5816731349366456,0.06817868667134915,5329444.804995221,1.3390439071733968
85170,126250,203050,N204.0 E128.0,130.5,0.58464690166767,0.06703579715080797,5216877.931781937,1.3311444252329745
84819,126150,203050,N204.0 E128.0,113,0.5224458133179561,0.0715561624620505,4825671.635198851,1.3183283494637101
84820,126150,202950,N204.0 E128.0,150,0.5170208301084733,0.07311407868595171,4363402.532368024,1.3045791628077978
84468,126050,203050,N204.0 E128.0,123.666666666667,0.570901579398667,0.07040116559046342,5303672.912011105,1.3287970700902854
84469,126050,202950,N204.0 E128.0,130.5,0.5165974742972017,0.07757521354525536,4229363.7616978865,1.2952066255222605
84470,126050,202850,N204.0 E128.0,130.5,0.5758823983414075,0.06923263333737853,4132401.0476515247,1.307521339935056
84119,125950,202850,N204.0 E124.0,111,0.603357790472187,0.06931780434322654,5931243.967077295,1.338429530735284
84118,125950,202950,N204.0 E124.0,130.5,0.5802174839851271,0.07462940609503636,4876522.974844765,1.3154651701907114
84117,125950,203050,N204.0 E124.0,120.5,0.5493630974416338,0.0694456419036086,5034966.304311953,1.3174939750653425
83767,125850,202950,N204.0 E124.0,111,0.5988084522520639,0.07055709846373705,6006621.987995984,1.3390630627179645
83766,125850,203050,N204.0 E124.0,113,0.5981323488556661,0.07121323988632815,5717512.124828756,1.3334044799232314
83415,125750,203050,N204.0 E124.0,111,0.6026014783251863,0.07101221817864421,5787088.416438552,1.3363484718984662
83416,125750,202950,N204.0 E124.0,127.5,0.5964421462815472,0.07262464283107249,5640314.970379479,1.3308549731218489
83768,125850,202850,N204.0 E124.0,127.5,0.5971939802060234,0.07275668697224724,5549492.440143454,1.3275802777094012
83417,125750,202850,N204.0 E124.0,127.5,0.5910694488579882,0.07933240681521449,5387094.439884114,1.3169762728010557
83066,125650,202850,N204.0 E124.0,129,0.5919823976081993,0.08095236826514782,5057778.239629248,1.3085398643070316
83064,125650,203050,N204.0 E124.0,101,0.6028328320901327,0.06818832717559274,6113799.10207744,1.341084784558082
83065,125650,202950,N204.0 E124.0,123,0.597115056305306,0.0705206891279516,5889655.17690097,1.3363412487918767
83063,125650,203150,N204.0 E124.0,94.5,0.5697496373081543,0.06016295943639161,6133394.7961747795,1.3596469725776197
82712,125550,203150,N204.0 E124.0,96,0.5853397854500346,0.06494475635958624,6143530.517813722,1.3511679760431714
82711,125550,203250,N204.0 E124.0,96,0.582776907055328,0.06340212095771372,6042845.3684989195,1.3510124676343467
83062,125650,203250,N204.0 E124.0,94.5,0.5722222570822669,0.05790134217644297,6264037.855917514,1.3629332172965252
83764,125850,203250,N204.0 E124.0,110.666666666667,0.5694340170177827,0.06440292318430114,5824670.443075825,1.3471783837191285
83413,125750,203250,N204.0 E124.0,94.5,0.5994563008308726,0.06624055984701033,6135255.19426247,1.3475839817334738
83414,125750,203150,N204.0 E124.0,94.5,0.6040225693893599,0.06884869996859072,6213139.553140824,1.3420665738443864
83765,125850,203150,N204.0 E124.0,94.5,0.5905407757215259,0.06383502459058264,5953445.4756464865,1.3480003971096208
84116,125950,203150,N204.0 E124.0,110.5,0.5894062842507912,0.06870293139366271,5417733.083267937,1.334956738965956
84115,125950,203250,N204.0 E124.0,110.5,0.5943975973109467,0.07723491314621601,5386767.432986081,1.3188444961250083
84114,125950,203350,N204.0 E124.0,143,0.5869071360602586,0.08197470209431035,5133097.5344646135,1.3051912293081263
84113,125950,203450,N204.0 E124.0,127,0.5918922869224598,0.08002985667209982,5081282.324325909,1.3124313798789295
83763,125850,203350,N204.0 E124.0,110.5,0.5830472952167916,0.07259669042786593,5679607.13000289,1.32951626085408
83412,125750,203350,N204.0 E124.0,110.5,0.5718315445409236,0.06066951088657881,5984869.24547243,1.3530128162303672
83411,125750,203450,N204.0 E124.0,110.5,0.5685391191232998,0.06464871107516347,5726458.006094775,1.349643229966252
83762,125850,203450,N204.0 E124.0,143,0.5884911492944528,0.07862316673330634,5258361.824217209,1.3101664439086849
83410,125750,203550,N204.0 E124.0,110.5,0.5667385967043796,0.06412860503782651,6295261.6111059515,1.3535894586130146
83761,125850,203550,N204.0 E124.0,143,0.5904685853059292,0.07960012076363235,5177888.932662883,1.3101043022357755
84112,125950,203550,N204.0 E124.0,143,0.5891413380259471,0.08142079027165555,5010536.951843243,1.3054430757465383
84111,125950,203650,N204.0 E124.0,127,0.593563073424725,0.07887810787670019,5034776.885680912,1.3110780111800049
84110,125950,203750,N204.0 E124.0,127,0.5928349000893122,0.07643705879257424,5419075.442974368,1.321688608684407
84109,125950,203850,N204.0 E124.0,127,0.5958655222711395,0.07484618574380876,5406407.6404167935,1.3233313483768783
83758,125850,203850,N204.0 E124.0,143,0.589797709810185,0.07778062067474378,5301100.152817099,1.318009596641977
83407,125750,203850,N204.0 E124.0,143,0.5855459105418798,0.07864974665462032,5365911.679158159,1.308993749447043
83408,125750,203750,N204.0 E124.0,143,0.579476819181541,0.07577888144772842,5508025.9071392715,1.316562702928806
83759,125850,203750,N204.0 E124.0,143,0.5848794481098339,0.07933929295980291,5265606.061462352,1.313402666089268
83760,125850,203650,N204.0 E124.0,143,0.5858090677774037,0.08367368564148604,5045614.045172898,1.3075047434348863
83409,125750,203650,N204.0 E124.0,110.5,0.5764909372580704,0.07449820927424332,5711368.006538402,1.3259265004394127
83058,125650,203650,N204.0 E124.0,110.5,0.5581034390936388,0.05797252879263117,6142196.522800076,1.3599652972913867
83057,125650,203750,N204.0 E124.0,110.5,0.5850448019242093,0.07090088453594748,5739948.84041377,1.3297963723222428
83056,125650,203850,N204.0 E124.0,110.5,0.5858370344538023,0.07445550103654992,5623724.386451337,1.3252666429619506
82705,125550,203850,N204.0 E124.0,78,0.5640914120162146,0.05607325213555342,6554674.2818405535,1.3712300662046835
82706,125550,203750,N204.0 E124.0,78,0.5670537048807512,0.05870776842288578,5840567.466828723,1.358527664152477
82707,125550,203650,N204.0 E124.0,78,0.56733255694883,0.057373469674553805,5840799.170458305,1.3578922370084994
82708,125550,203550,N204.0 E124.0,78,0.5564664014511636,0.05384036211265075,6530196.804683371,1.3756206212644917
83059,125650,203550,N204.0 E124.0,78,0.5773276524283949,0.05966638658259415,6142052.823161356,1.3611894225208172
83060,125650,203450,N204.0 E124.0,78,0.565182101745636,0.05858538194428174,5687657.954022418,1.3582874892804844
83061,125650,203350,N204.0 E124.0,78,0.570169272665412,0.05874525170283729,5931916.335610638,1.3597422966208195
82709,125550,203450,N204.0 E124.0,78,0.5774215027594413,0.05775798231852838,6592475.519893129,1.3691469373611278
82710,125550,203350,N204.0 E124.0,78,0.5951311598316982,0.06365879028378864,6087444.945695911,1.352822052184334
82359,125450,203350,N204.0 E124.0,96,0.583361906051222,0.06504084500678194,5989460.925064156,1.3490576553675881
82358,125450,203450,N204.0 E124.0,96,0.5971082778544061,0.06710947563341402,6013010.706910331,1.345844978533588
82008,125350,203350,N204.0 E124.0,114,0.5946058569345296,0.07629621369976618,5434481.637018259,1.3239895080395947
81657,125250,203350,N204.0 E124.0,114,0.5975253545728167,0.07515871414931062,5300064.636342364,1.3222234795708734
81656,125250,203450,N204.0 E124.0,115.5,0.5971285066349649,0.07379500069393417,5567018.688711939,1.3283724017430536
82007,125350,203450,N204.0 E124.0,115.5,0.5961030041919901,0.07516397301962363,5543928.883633096,1.3275681751799744
81655,125250,203550,N204.0 E124.0,117,0.5931643244897963,0.0750164868326014,5547465.77500564,1.3273845747755015
82006,125350,203550,N204.0 E124.0,103,0.5978059830945767,0.07142430117118707,5575998.5837564,1.3296540416174327
82357,125450,203550,N204.0 E124.0,96,0.5629746828366209,0.055616693454794586,6571056.100198408,1.3685119794052698
82356,125450,203650,N204.0 E124.0,78,0.5620428271527982,0.05599418497031444,6513477.384177596,1.3762648073235422
82355,125450,203750,N204.0 E124.0,78,0.5658391626217425,0.057832222599058576,5985114.85377055,1.3638323477954948
82354,125450,203850,N204.0 E124.0,78,0.5750583935624514,0.05976803064680633,6138575.363386281,1.3614272066121973
82003,125350,203850,N204.0 E124.0,78,0.566524648418029,0.055619121469461755,6815254.22119594,1.3775280211789478
81652,125250,203850,N204.0 E124.0,103,0.5540914159693112,0.05646209456297812,6319977.939424107,1.3703596054736062
81653,125250,203750,N204.0 E124.0,103,0.5975246701290089,0.07145125408277131,5930178.470365403,1.33839747912297
82004,125350,203750,N204.0 E124.0,97.5,0.5532577792421366,0.05377932545991662,6801623.989279476,1.3778731560423259
82005,125350,203650,N204.0 E124.0,103,0.570434520136366,0.06057895028746677,6497034.326334888,1.366335502913083
81654,125250,203650,N204.0 E124.0,117,0.596159357669103,0.07561598786622545,5512620.066630058,1.3274902431586229
81303,125150,203650,N204.0 E124.0,117,0.5993042952603956,0.07456768361421731,5495873.844924185,1.326419039414478
81302,125150,203750,N204.0 E124.0,115.5,0.5961866187016394,0.07141859233540626,5823088.847798577,1.334945958508397
81301,125150,203850,N204.0 E124.0,96,0.5943498727865517,0.07072537462712111,5752165.951339239,1.3360071420100397
80950,125050,203850,N204.0 E124.0,115.5,0.5961315308594715,0.07558342166148226,5523889.771049108,1.3276348840579633
80951,125050,203750,N204.0 E124.0,115.5,0.5997930930038404,0.07320522282925716,5555035.579663692,1.3279682343728048
80952,125050,203650,N204.0 E124.0,115.5,0.6028088963070475,0.0726538464080268,5491945.2122133635,1.325759678369477
80953,125050,203550,N204.0 E124.0,115.5,0.6017015787516148,0.07275880939323147,5245001.973759282,1.32620857532824
81304,125150,203550,N204.0 E124.0,115.5,0.5964398976942205,0.07587747111604755,5182286.0699791685,1.3191338366846348
81305,125150,203450,N204.0 E124.0,115.5,0.5972125564371256,0.0756621641687468,5305099.328394873,1.3215369462751891
81306,125150,203350,N204.0 E124.0,114,0.5981636869173759,0.07281453655460816,5656782.819522833,1.329258093255308
80955,125050,203350,N204.0 E124.0,114,0.6019726959833255,0.07278662641418346,5515664.778693906,1.3297587447428614
80954,125050,203450,N204.0 E124.0,114,0.6017194569168054,0.07142212010691301,5749095.002430363,1.3330401806759902
80956,125050,203250,N204.0 E124.0,96,0.6030431050263967,0.0698216239203854,5639166.243692302,1.3345413135830315
80957,125050,203150,N204.0 E124.0,96,0.5782485868160921,0.06388428656888813,5709265.062916795,1.344550623620549
81308,125150,203150,N204.0 E124.0,114,0.5987607628128857,0.07382839658346618,5546151.149467358,1.32802197703144
81307,125150,203250,N204.0 E124.0,114,0.6005847104171518,0.0729202573012005,5559737.59583551,1.3277741278908428
81658,125250,203250,N204.0 E124.0,114,0.6020487826113312,0.07116253221848688,5760029.28752245,1.334945937892603
82009,125350,203250,N204.0 E124.0,114,0.5912043043665522,0.07114463364868832,5831265.927254494,1.33226118450712
82360,125450,203250,N204.0 E124.0,96,0.6031783740553588,0.07209559123536265,5934465.674714763,1.3355785180918025
82361,125450,203150,N204.0 E124.0,114,0.595999536908742,0.06957443783578934,6016329.789879079,1.336905839963729
82010,125350,203150,N204.0 E124.0,114,0.5989149517886209,0.07226447109949954,5760371.538122726,1.333803211710771
81659,125250,203150,N204.0 E124.0,114,0.59951104494955465,0.0735032216574975,5611890.50909428,1.3296134999969564
81660,125250,203050,N204.0 E124.0,114,0.5992432865559271,0.07358461662947217,5543188.177610171,1.3299503783602789
81661,125250,202950,N204.0 E124.0,114,0.599560488995753,0.07118949748110029,5661801.946611308,1.3307356875119063
81662,125250,202850,N204.0 E124.0,96,0.5946935936420535,0.06743764668014288,5746400.195604154,1.3432639721884518
81311,125150,202850,N204.0 E124.0,96,0.5700202242781718,0.059831208648877976,6009164.219706567,1.3565370998990702
81309,125150,203050,N204.0 E124.0,96,0.602322069151948,0.07013690977813286,5809008.299602622,1.3366290185755747
81310,125150,202950,N204.0 E124.0,96,0.5917797760339453,0.06577692892703148,5956036.1717313435,1.344654643012643
80959,125050,202950,N204.0 E124.0,78,0.5727891920564266,0.05896485047355196,6001243.946401217,1.3576639790056113
80958,125050,203050,N204.0 E124.0,96,0.576019725878723,0.0607543859417395,5865604.235538244,1.3539056457786096
80960,125050,202850,N204.0 E124.0,78,0.5624292443673581,0.05820221101674131,6071915.234929467,1.362777014000294
80961,125050,202750,N204.0 E124.0,78,0.5636486200950084,0.05663796576360861,6226836.764475493,1.3679204960154694
81312,125150,202750,N204.0 E124.0,78,0.5570389995208156,0.054684772924321105,6424525.618206315,1.3729489543753823
81313,125150,202650,N204.0 E124.0,78,0.565575916797687,0.05550964467991622,6664185.846257343,1.3749634229665642
81314,125150,202550,N204.0 E124.0,78,0.5857485337899279,0.058724134464939216,5959277.732610505,1.3591049185548054
80963,125050,202550,N204.0 E124.0,111,0.5862281648945566,0.0624484548445892,5743890.015732385,1.3525736239266093
80962,125050,202650,N204.0 E124.0,78,0.5932212063135244,0.06233076696307995,6432428.2883360125,1.357103208891857
80964,125050,202450,N204.0 E124.0,111,0.5854228501363347,0.0650848576689961,5860757.137743261,1.3473284712603864
80965,125050,202350,N204.0 E124.0,112,0.5961606628704992,0.07787198850530243,5329986.425500897,1.3175668857459522
81316,125150,202350,N204.0 E124.0,112,0.5921155050108654,0.0684405425729762,5357690.256415629,1.337627939022484
81315,125150,202450,N204.0 E124.0,78,0.5860953604659209,0.06027845651484452,5749380.610949059,1.3574065062261789
81663,125250,202750,N204.0 E124.0,96,0.5809155587210423,0.06412144861921357,5966815.878433807,1.3504420058387834
82716,125550,202750,N204.0 E124.0,129,0.5966961042238377,0.07481552166166384,5192952.232585034,1.3235092465883698
82717,125550,202650,N204.0 E124.0,129,0.5998515991400208,0.07432439427483507,5119864.167872808,1.320901576064382
82718,125550,202550,N204.0 E124.0,129,0.6048109173709741,0.07488695924827295,4865509.802078143,1.3190640533886813
83068,125650,202650,N204.0 E124.0,144,0.5955949757869046,0.0815339581167791,4958604.811708121,1.3067451589050971
83069,125650,202550,N204.0 E124.0,129,0.5981366848681382,0.08158343220707175,4996681.023529072,1.3034270324204404
83067,125650,202750,N204.0 E124.0,144,0.5949554189487741,0.08303899925926496,4761959.133058825,1.302116467031063
83418,125750,202750,N204.0 E124.0,144,0.5946171793707268,0.07924021256621928,5013010.932415725,1.3111509760496782
